Q100009,R122648
Q101283,R114597
Q101286,R110835
Q101289,R108588
Q101289,R117573
Q101292,R107592
Q101292,R136153
Q101294,R103929
Q101303,R122908
Q101308,R103727
Q101308,R108285
Q101309,R114311
Q101327,R114311
Q101327,R134639
Q101329,R134773
Q101330,R125215
Q101331,R131797
Q101335,R126749
Q101341,R124047
Q101342,R132377
Q101346,R113107
Q101348,R101745
Q101351,R131290
Q101357,R116523
Q101374,R107760
Q101374,R112548
Q101374,R113082
Q101376,R135295
Q101383,R115391
Q101385,R135450
Q101397,R135767
Q101408,R101131
Q101415,R126810
Q101416,R114560
Q101416,R119443
Q101416,R138785
Q101417,R104142
Q101426,R116836
Q101426,R134538
Q101426,R136967
Q101432,R103475
Q101433,R107501
Q101433,R129449
Q101435,R130283
Q101437,R118316
Q101454,R130781
Q101457,R112168
Q101462,R106044
Q101466,R108148
Q101466,R116589
Q101466,R133825
Q101476,R114163
Q101496,R109818
Q101497,R100946
Q101497,R117043
Q101497,R139602
Q101498,R126889
Q101498,R140207
Q101503,R135256
Q101520,R104826
Q101521,R103096
Q101522,R107338
Q101522,R111109
Q101525,R134447
Q101527,R116561
Q101528,R123925
Q101529,R124255
Q101533,R107413
Q101533,R110185
Q101536,R107206
Q101536,R128542
Q101537,R128695
Q101537,R134037
Q101537,R137839
Q101538,R120879
Q101545,R101699
Q101547,R129453
Q101549,R111763
Q101550,R128304
Q101565,R135386
Q101580,R112578
Q101580,R120200
Q101584,R110587
Q101602,R128610
Q101608,R120886
Q101611,R121272
Q101644,R126371
Q101650,R129780
Q101653,R118653
Q101654,R100701
Q101655,R108100
Q101657,R100751
Q101657,R114022
Q101657,R114294
Q101658,R132104
Q101664,R111457
Q101664,R124581
Q101665,R103718
Q101673,R121236
Q101678,R124624
Q101679,R108948
Q101686,R106659
Q101688,R137901
Q101690,R118262
Q101693,R126625
Q101695,R134238
Q101696,R130273
Q101697,R121366
Q101698,R109961
Q101699,R105516
Q101700,R107185
Q101734,R120909
Q101735,R103162
Q101735,R117702
Q101736,R109826
Q101736,R115276
Q101736,R127076
Q101745,R127634
Q101763,R131471
Q101774,R110991
Q101784,R102445
Q101785,R100557
Q101789,R100968
Q101789,R126019
Q101790,R102145
Q101798,R110567
Q101801,R135642
Q101804,R114325
Q101807,R114501
Q101813,R106008
Q101825,R118633
Q101825,R138129
Q101825,R138914
Q101833,R130856
Q101836,R102977
Q101848,R106752
Q101854,R104231
Q101868,R128171
Q101870,R122120
Q101875,R111667
Q101879,R138867
Q101883,R107609
Q101884,R116971
Q101888,R119027
Q101889,R114823
Q101890,R111966
Q101893,R127244
Q101893,R137777
Q101894,R104431
Q101899,R101031
Q101900,R126564
Q101902,R116033
Q101902,R125075
Q101902,R125422
Q101915,R115760
Q101916,R124852
Q101918,R106375
Q101927,R103096
Q101927,R134761
Q101929,R124908
Q101937,R129422
Q101944,R116752
Q101953,R104675
Q101958,R101402
Q101958,R101881
Q101963,R133418
Q101966,R131603
Q101969,R126655
Q101970,R112689
Q101989,R138230
Q101990,R121729
Q102021,R100566
Q102021,R116526
Q102021,R131429
Q102025,R114907
Q102026,R133068
Q102033,R131763
Q102035,R104178
Q102035,R130972
Q102041,R131256
Q102043,R106487
Q102043,R119848
Q102043,R132522
Q102044,R124838
Q102045,R134044
Q102046,R137286
Q102048,R131001
Q102049,R128158
Q102055,R101109
Q102056,R125147
Q102059,R105024
Q102059,R107416
Q102059,R129214
Q102065,R136995
Q102067,R116209
Q102067,R139977
Q102068,R102862
Q102071,R135608
Q102075,R128563
Q102081,R116692
Q102082,R131076
Q102088,R123007
Q102092,R130473
Q102093,R118308
Q102098,R113199
Q102101,R118528
Q102102,R139325
Q102103,R103861
Q102104,R140275
Q102120,R114707
Q102129,R139154
Q102130,R122335
Q102140,R118685
Q102143,R119026
Q102143,R133891
Q102149,R109569
Q102149,R137580
Q102165,R127850
Q102169,R136163
Q102174,R132070
Q102179,R128501
Q102180,R113434
Q102180,R128551
Q102182,R102296
Q102196,R123178
Q102204,R139429
Q102205,R111150
Q102217,R111196
Q102217,R127804
Q102217,R131746
Q102218,R130777
Q102219,R116197
Q102233,R124061
Q102234,R103818
Q102234,R124504
Q102235,R130429
Q102237,R110943
Q102239,R129491
Q102239,R134755
Q102246,R106264
Q102247,R124718
Q102248,R116836
Q102248,R129449
Q102248,R139124
Q102249,R136345
Q102270,R116516
Q102276,R127076
Q102277,R138914
Q102300,R101924
Q102301,R102836
Q102350,R107931
Q102350,R115148
Q102350,R129463
Q102352,R122132
Q102361,R105024
Q102372,R101174
Q102372,R117415
Q102375,R108365
Q102377,R129170
Q102390,R103250
Q102395,R125269
Q102399,R102240
Q102399,R106226
Q102399,R116289
Q102402,R102078
Q102402,R117438
Q102419,R108836
Q102423,R136485
Q102436,R116636
Q102436,R118441
Q102436,R124103
Q102444,R128371
Q102447,R124363
Q102448,R116454
Q102451,R117939
Q102500,R124439
Q102505,R120692
Q102512,R106876
Q102512,R126618
Q102528,R123807
Q102540,R123925
Q102540,R124061
Q102540,R139952
Q102541,R133825
Q102542,R104613
Q102552,R127891
Q102554,R137751
Q102555,R130043
Q102556,R102327
Q102557,R120582
Q102560,R129017
Q102563,R109710
Q102565,R111922
Q102570,R116693
Q102570,R125269
Q102572,R107684
Q102573,R100150
Q102573,R121846
Q102581,R136127
Q102588,R121272
Q102588,R122734
Q102588,R125445
Q102590,R133022
Q102593,R105045
Q102593,R118214
Q102593,R122193
Q102599,R125544
Q102602,R124089
Q102615,R119982
Q102616,R110475
Q102621,R125919
Q102627,R139775
Q102628,R100140
Q102628,R110143
Q102638,R135340
Q102647,R105118
Q102647,R118798
Q102647,R133295
Q102652,R135919
Q102655,R133396
Q102655,R133666
Q102655,R138242
Q102656,R130840
Q102661,R100121
Q102665,R105832
Q102671,R107464
Q102682,R102861
Q102683,R127300
Q102685,R122535
Q102685,R126237
Q102685,R131471
Q102688,R124617
Q102689,R122003
Q102698,R119223
Q102699,R111258
Q102704,R104212
Q102704,R118946
Q102706,R138574
Q102707,R111055
Q102708,R114915
Q102709,R136417
Q102712,R112731
Q102717,R121266
Q102719,R113798
Q102719,R125635
Q102719,R137839
Q102720,R117159
Q102728,R127677
Q102737,R111492
Q102738,R107116
Q102741,R128701
Q102741,R131076
Q102741,R140192
Q102745,R137627
Q102759,R123203
Q102763,R113603
Q102764,R102118
Q102780,R118787
Q102792,R138097
Q102793,R111109
Q102794,R131083
Q102799,R104644
Q102803,R110206
Q102804,R124125
Q102813,R125063
Q102816,R110123
Q102817,R120800
Q102818,R116200
Q102830,R109650
Q102830,R114841
Q102830,R118262
Q102831,R116211
Q102834,R116555
Q102834,R123603
Q102834,R135919
Q102838,R130584
Q102839,R102977
Q102839,R118404
Q102839,R130510
Q102865,R122744
Q102866,R126852
Q102871,R125713
Q102873,R100219
Q102873,R124950
Q102874,R138887
Q102875,R130447
Q102887,R109116
Q102892,R110934
Q102893,R120571
Q102893,R126432
Q102893,R135419
Q102894,R122392
Q102904,R105866
Q102904,R120876
Q102904,R129717
Q102915,R116846
Q102922,R125025
Q102926,R117244
Q102928,R123335
Q102930,R105944
Q102931,R139536
Q102935,R123266
Q102942,R107204
Q102942,R111141
Q102942,R125403
Q102947,R107025
Q102948,R132718
Q102958,R105364
Q102961,R139645
Q102989,R134147
Q102990,R107609
Q102990,R120931
Q102991,R131255
Q102997,R105603
Q103000,R112949
Q103012,R105837
Q103014,R109731
Q103018,R104147
Q103037,R121408
Q103039,R114637
Q103039,R120130
Q103039,R139677
Q103045,R104829
Q103055,R103470
Q103068,R136471
Q103072,R138242
Q103073,R123800
Q103079,R117693
Q103079,R128171
Q103079,R128720
Q103080,R100373
Q103080,R122108
Q103080,R137527
Q103084,R126663
Q103084,R127541
Q103084,R132901
Q103092,R111186
Q103092,R121521
Q103092,R136818
Q103099,R137270
Q103104,R136360
Q103106,R109569
Q103107,R112705
Q103123,R130996
Q103127,R119174
Q103128,R128592
Q103138,R111666
Q103143,R131206
Q103148,R100968
Q103152,R132915
Q103161,R108667
Q103183,R116394
Q103183,R126590
Q103199,R116309
Q103205,R117693
Q103206,R103499
Q103206,R111476
Q103207,R126715
Q103207,R130876
Q103217,R109819
Q103218,R106876
Q103220,R108113
Q103222,R117211
Q103224,R129189
Q103225,R132744
Q103229,R135404
Q103232,R108647
Q103236,R113798
Q103240,R134817
Q103247,R137848
Q103252,R115359
Q103252,R128952
Q103257,R120210
Q103258,R118092
Q103269,R126956
Q103275,R130702
Q103280,R107676
Q103281,R110769
Q103282,R109633
Q103288,R122124
Q103299,R106048
Q103301,R130915
Q103303,R110214
Q103307,R131732
Q103308,R138681
Q103309,R105387
Q103310,R133774
Q103314,R116084
Q103320,R123052
Q103322,R113001
Q103323,R116636
Q103324,R128556
Q103333,R103499
Q103334,R135303
Q103335,R126357
Q103336,R118369
Q103336,R139687
Q103346,R129703
Q103346,R130711
Q103346,R134361
Q103347,R105731
Q103352,R106226
Q103353,R120400
Q103354,R134732
Q103373,R111388
Q103374,R136278
Q103376,R118965
Q103376,R126140
Q103379,R112124
Q103380,R126999
Q103381,R139454
Q103383,R110036
Q103399,R104523
Q103407,R131691
Q103409,R128028
Q103412,R108915
Q103416,R133666
Q103421,R130037
Q103423,R111072
Q103424,R117113
Q103424,R132238
Q103436,R131352
Q103445,R118426
Q103456,R118165
Q103457,R113112
Q103459,R106934
Q103459,R126999
Q103459,R130702
Q103463,R114290
Q103479,R127096
Q103481,R105540
Q103481,R127912
Q103481,R137262
Q103485,R102624
Q103491,R122535
Q103492,R117709
Q103493,R116868
Q103494,R119026
Q103494,R139757
Q103499,R133424
Q103502,R105926
Q103502,R118798
Q103504,R102211
Q103506,R140192
Q103516,R127599
Q103526,R107030
Q103529,R130035
Q103534,R103864
Q103534,R118876
Q103534,R126019
Q103535,R116792
Q103552,R113863
Q103564,R119652
Q103565,R104089
Q103565,R110555
Q103574,R119735
Q103582,R123647
Q103585,R101809
Q103593,R104841
Q103607,R135890
Q103611,R126355
Q103612,R108553
Q103630,R124689
Q103639,R114857
Q103656,R114383
Q103656,R114682
Q103656,R127891
Q103657,R109091
Q103667,R108565
Q103668,R118679
Q103678,R128371
Q103678,R134404
Q103679,R119890
Q103684,R105287
Q103686,R122830
Q103688,R106705
Q103697,R132619
Q103699,R134018
Q103705,R139758
Q103709,R116019
Q103709,R119486
Q103709,R122499
Q103710,R131571
Q103711,R135530
Q103712,R116125
Q103712,R118255
Q103712,R121657
Q103714,R116829
Q103729,R127826
Q103736,R131502
Q103738,R133314
Q103745,R111370
Q103746,R109129
Q103746,R128171
Q103746,R137738
Q103747,R114794
Q103751,R112968
Q103752,R105720
Q103753,R121361
Q103754,R121984
Q103756,R138143
Q103762,R106119
Q103762,R109123
Q103762,R123199
Q103764,R134954
Q103765,R138873
Q103777,R122739
Q103777,R131083
Q103778,R135083
Q103779,R128938
Q103783,R116310
Q103796,R102533
Q103799,R119084
Q103805,R125807
Q103815,R126689
Q103823,R102731
Q103831,R117315
Q103832,R135023
Q103844,R101063
Q103850,R114690
Q103868,R109910
Q103871,R106098
Q103872,R135617
Q103877,R119212
Q103879,R124023
Q103900,R123283
Q103900,R124450
Q103900,R130950
Q103904,R130972
Q103905,R128968
Q103914,R122475
Q103923,R114637
Q103923,R123569
Q103923,R139515
Q103924,R121385
Q103924,R126311
Q103933,R133198
Q103933,R137655
Q103937,R107639
Q103940,R114906
Q103941,R138265
Q103950,R133803
Q103956,R114753
Q103969,R120918
Q103971,R101657
Q103973,R132446
Q103979,R103818
Q103980,R100316
Q103997,R135917
Q103999,R117229
Q104000,R121635
Q104002,R116652
Q104002,R126728
Q104013,R131877
Q104018,R118034
Q104020,R121301
Q104023,R127752
Q104035,R109198
Q104049,R135685
Q104053,R104565
Q104057,R128898
Q104070,R104696
Q104071,R126555
Q104082,R111101
Q104086,R136196
Q104089,R103560
Q104089,R110913
Q104089,R138077
Q104090,R111176
Q104091,R116639
Q104094,R129778
Q104101,R104818
Q104106,R126445
Q104110,R123087
Q104116,R134284
Q104117,R113195
Q104133,R139240
Q104142,R105933
Q104143,R129029
Q104144,R130478
Q104151,R108048
Q104152,R117443
Q104153,R110433
Q104164,R104192
Q104164,R124510
Q104164,R134947
Q104177,R105086
Q104179,R108869
Q104179,R126280
Q104182,R102628
Q104183,R105354
Q104194,R117201
Q104195,R125408
Q104197,R121846
Q104198,R103519
Q104205,R139960
Q104208,R124160
Q104213,R136667
Q104219,R113089
Q104229,R116430
Q104250,R106580
Q104251,R137762
Q104256,R112309
Q104256,R126246
Q104256,R139943
Q104266,R108006
Q104276,R134161
Q104278,R107753
Q104279,R114441
Q104281,R123188
Q104292,R122347
Q104297,R129536
Q104298,R103493
Q104301,R108150
Q104303,R120130
Q104307,R115393
Q104308,R104229
Q104309,R106529
Q104314,R122506
Q104315,R125008
Q104319,R130238
Q104321,R104887
Q104325,R124166
Q104332,R127334
Q104334,R138664
Q104335,R113248
Q104336,R138892
Q104337,R120684
Q104341,R118706
Q104359,R104630
Q104362,R109402
Q104375,R121790
Q104385,R131562
Q104385,R132627
Q104393,R103727
Q104395,R137495
Q104396,R138610
Q104397,R132125
Q104398,R116985
Q104398,R120909
Q104398,R131196
Q104402,R110674
Q104402,R118214
Q104420,R135447
Q104422,R127207
Q104422,R132901
Q104422,R132926
Q104423,R132847
Q104424,R136721
Q104425,R101790
Q104426,R100556
Q104427,R133229
Q104442,R115511
Q104443,R136805
Q104450,R100310
Q104450,R126579
Q104450,R127145
Q104461,R132246
Q104468,R137704
Q104469,R105247
Q104469,R123585
Q104469,R126737
Q104472,R106396
Q104472,R115329
Q104472,R124475
Q104473,R139377
Q104480,R108721
Q104481,R135656
Q104482,R126051
Q104483,R105837
Q104483,R113076
Q104483,R121006
Q104484,R118529
Q104485,R124079
Q104491,R106228
Q104491,R119365
Q104491,R139552
Q104502,R127135
Q104507,R116379
Q104508,R115782
Q104517,R139361
Q104520,R105117
Q104521,R125719
Q104526,R102673
Q104526,R111737
Q104527,R127053
Q104529,R128695
Q104532,R119669
Q104537,R116502
Q104538,R117114
Q104541,R109407
Q104546,R123308
Q104548,R106079
Q104562,R131996
Q104562,R136857
Q104562,R138143
Q104563,R112356
Q104570,R116555
Q104572,R104285
Q104572,R122491
Q104572,R130043
Q104578,R103022
Q104593,R127038
Q104593,R134107
Q104593,R138391
Q104595,R124155
Q104606,R130682
Q104612,R132643
Q104612,R136857
Q104620,R105926
Q104620,R111158
Q104620,R136693
Q104621,R101479
Q104621,R123569
Q104622,R121521
Q104623,R104212
Q104627,R101579
Q104627,R104072
Q104627,R118506
Q104633,R117528
Q104633,R124204
Q104635,R118565
Q104635,R124001
Q104635,R138025
Q104640,R137825
Q104644,R115227
Q104652,R119082
Q104653,R112970
Q104661,R123150
Q104667,R108556
Q104670,R115250
Q104671,R107377
Q104672,R115588
Q104676,R105848
Q104676,R124961
Q104676,R137071
Q104681,R129792
Q104684,R133241
Q104692,R105156
Q104693,R138731
Q104694,R114497
Q104708,R104689
Q104708,R106705
Q104713,R122270
Q104715,R137768
Q104724,R122874
Q104725,R137990
Q104730,R130512
Q104742,R139527
Q104754,R120936
Q104756,R116570
Q104757,R100129
Q104757,R125063
Q104769,R121805
Q104786,R132931
Q104787,R105646
Q104787,R138143
Q104788,R100946
Q104789,R108112
Q104797,R109682
Q104797,R128162
Q104797,R135841
Q104800,R107006
Q104800,R115329
Q104800,R130571
Q104803,R107340
Q104810,R114232
Q104811,R120796
Q104815,R110164
Q104817,R100384
Q104817,R118124
Q104818,R121413
Q104825,R122379
Q104826,R116115
Q104827,R100419
Q104828,R108041
Q104829,R107367
Q104835,R104675
Q104835,R109826
Q104836,R123041
Q104837,R109162
Q104845,R110810
Q104857,R105250
Q104863,R115578
Q104864,R139677
Q104873,R104376
Q104876,R128717
Q104877,R130711
Q104881,R121240
Q104888,R116323
Q104889,R108778
Q104899,R134755
Q104909,R127883
Q104916,R116147
Q104923,R137738
Q104929,R119854
Q104934,R111379
Q104959,R116511
Q104968,R135247
Q104972,R114799
Q104977,R104446
Q104978,R129075
Q104980,R128381
Q104987,R136063
Q104988,R133833
Q104989,R105194
Q104990,R138073
Q104994,R135073
Q105005,R125075
Q105006,R100766
Q105017,R106057
Q105018,R139762
Q105027,R107539
Q105028,R122438
Q105033,R104289
Q105035,R119067
Q105044,R118608
Q105053,R124523
Q105055,R107554
Q105055,R130478
Q105064,R105250
Q105064,R131746
Q105064,R134946
Q105065,R130939
Q105067,R111200
Q105072,R119486
Q105072,R124079
Q105085,R124765
Q105088,R102567
Q105090,R101872
Q105110,R105045
Q105117,R102920
Q105120,R115359
Q105121,R100840
Q105125,R115320
Q105138,R106398
Q105140,R120846
Q105140,R126013
Q105154,R115978
Q105162,R103950
Q105163,R119017
Q105164,R128864
Q105165,R135120
Q105174,R129916
Q105178,R111035
Q105180,R132436
Q105193,R108286
Q105193,R117593
Q105193,R130249
Q105194,R116846
Q105194,R132562
Q105195,R118270
Q105198,R128483
Q105201,R135271
Q105207,R128879
Q105208,R116136
Q105215,R115146
Q105221,R111167
Q105221,R134643
Q105229,R103773
Q105230,R136337
Q105248,R132488
Q105256,R129703
Q105263,R120571
Q105271,R106542
Q105275,R100303
Q105276,R133577
Q105277,R134851
Q105287,R135047
Q105294,R116479
Q105304,R110184
Q105304,R129214
Q105306,R122819
Q105307,R128772
Q105307,R136127
Q105310,R127400
Q105315,R114396
Q105322,R100766
Q105322,R125101
Q105328,R102787
Q105334,R110419
Q105334,R139919
Q105344,R131359
Q105345,R102644
Q105346,R111684
Q105354,R102842
Q105354,R130322
Q105358,R108588
Q105361,R131072
Q105365,R103665
Q105370,R123296
Q105372,R119026
Q105382,R108267
Q105384,R129171
Q105388,R105848
Q105388,R111379
Q105388,R113573
Q105389,R117113
Q105389,R137175
Q105399,R114095
Q105402,R134527
Q105406,R117517
Q105412,R118295
Q105413,R128364
Q105414,R105806
Q105414,R110025
Q105414,R122811
Q105420,R128165
Q105428,R138367
Q105437,R107092
Q105437,R122100
Q105437,R124830
Q105439,R100644
Q105441,R128288
Q105442,R106079
Q105442,R116200
Q105442,R131746
Q105447,R119779
Q105450,R113470
Q105463,R138224
Q105476,R110962
Q105484,R125361
Q105484,R139262
Q105497,R109671
Q105498,R111492
Q105498,R119084
Q105498,R123186
Q105506,R133064
Q105511,R128117
Q105524,R122063
Q105525,R126663
Q105534,R106532
Q105540,R118420
Q105544,R115161
Q105548,R103881
Q105548,R119677
Q105548,R120890
Q105552,R137219
Q105564,R121955
Q105568,R119268
Q105572,R127920
Q105574,R113885
Q105576,R110492
Q105578,R130491
Q105578,R131862
Q105578,R137363
Q105581,R108853
Q105583,R138025
Q105588,R125338
Q105588,R128895
Q105593,R117642
Q105595,R124002
Q105595,R124523
Q105595,R133891
Q105601,R135433
Q105610,R123283
Q105611,R139033
Q105612,R127431
Q105626,R129310
Q105627,R119720
Q105640,R107586
Q105650,R100646
Q105650,R137206
Q105652,R139045
Q105653,R138653
Q105671,R135577
Q105673,R134382
Q105676,R138339
Q105682,R129370
Q105698,R120876
Q105698,R131522
Q105698,R134851
Q105702,R129369
Q105703,R108295
Q105704,R122394
Q105705,R108915
Q105705,R111473
Q105705,R126555
Q105716,R135563
Q105729,R100745
Q105729,R112706
Q105729,R137919
Q105735,R107074
Q105740,R127204
Q105741,R110564
Q105742,R121976
Q105751,R111492
Q105751,R114560
Q105752,R108603
Q105753,R100384
Q105759,R103624
Q105764,R120030
Q105764,R132637
Q105764,R139922
Q105767,R102433
Q105777,R138171
Q105784,R119365
Q105785,R109832
Q105794,R103632
Q105796,R107932
Q105811,R118853
Q105812,R118565
Q105813,R102778
Q105813,R128486
Q105813,R139943
Q105814,R139937
Q105830,R100617
Q105830,R132931
Q105832,R131979
Q105832,R134701
Q105832,R137464
Q105836,R105944
Q105836,R108553
Q105836,R125365
Q105837,R136723
Q105843,R138805
Q105845,R101985
Q105847,R126579
Q105865,R109461
Q105866,R139342
Q105868,R126467
Q105870,R113901
Q105870,R127848
Q105880,R114606
Q105883,R137608
Q105891,R114270
Q105891,R130141
Q105898,R129394
Q105899,R120806
Q105900,R122108
Q105901,R126738
Q105903,R107931
Q105904,R136153
Q105917,R111415
Q105920,R107522
Q105932,R123640
Q105934,R139374
Q105937,R107599
Q105954,R102418
Q105964,R109053
Q105972,R109115
Q105993,R130510
Q105997,R133729
Q106009,R130690
Q106012,R135841
Q106013,R115129
Q106022,R111726
Q106024,R125336
Q106025,R118821
Q106039,R118854
Q106046,R124977
Q106055,R128940
Q106057,R127208
Q106066,R113896
Q106076,R103759
Q106081,R125665
Q106082,R109024
Q106082,R126371
Q106082,R133367
Q106091,R131862
Q106092,R100188
Q106098,R121657
Q106101,R126475
Q106107,R126590
Q106108,R124784
Q106108,R136690
Q106119,R104763
Q106129,R126119
Q106137,R121422
Q106142,R129964
Q106146,R106029
Q106147,R118460
Q106153,R110227
Q106155,R128774
Q106164,R140207
Q106167,R105703
Q106168,R112104
Q106179,R139233
Q106181,R116033
Q106182,R137987
Q106183,R105737
Q106184,R134273
Q106199,R118506
Q106207,R135933
Q106209,R108569
Q106217,R106271
Q106217,R116394
Q106227,R140204
Q106229,R111189
Q106230,R131547
Q106231,R106487
Q106232,R125795
Q106237,R133413
Q106242,R127320
Q106243,R110542
Q106244,R110882
Q106247,R105287
Q106247,R119945
Q106247,R122908
Q106248,R104118
Q106248,R113568
Q106248,R136471
Q106249,R124475
Q106251,R135797
Q106257,R100541
Q106257,R111667
Q106261,R100566
Q106264,R119323
Q106272,R134370
Q106273,R100837
Q106286,R109024
Q106293,R113103
Q106300,R122797
Q106319,R101202
Q106319,R134447
Q106321,R113311
Q106324,R111737
Q106326,R119051
Q106330,R116368
Q106340,R116461
Q106343,R118441
Q106348,R123214
Q106349,R115981
Q106363,R135682
Q106365,R131429
Q106375,R117415
Q106377,R123405
Q106380,R105570
Q106381,R119145
Q106381,R133774
Q106383,R105262
Q106383,R113603
Q106387,R119848
Q106401,R118789
Q106404,R105087
Q106411,R115931
Q106411,R118740
Q106411,R132377
Q106412,R135107
Q106434,R108569
Q106434,R114922
Q106434,R131898
Q106435,R125744
Q106446,R101381
Q106457,R119087
Q106469,R106396
Q106469,R123138
Q106472,R121752
Q106473,R111362
Q106481,R128589
Q106482,R121323
Q106504,R127215
Q106514,R126737
Q106516,R132352
Q106526,R105776
Q106527,R107760
Q106529,R124373
Q106538,R125436
Q106542,R100923
Q106550,R138868
Q106551,R111015
Q106553,R140115
Q106555,R133437
Q106563,R120855
Q106571,R100678
Q106572,R117558
Q106573,R133281
Q106574,R136983
