query_id,ref_id,query_start,query_end,ref_start,ref_end
Q100396,R126817,6.5115547,17.800486,5.5409203,12.32803
Q100397,R127145,9.752804,17.855162,43.180477,49.716885
Q100398,R135026,37.784756,45.61684,6.549464,14.381548
Q100401,R125961,13.54296,47.284718,10.506764,51.55205
Q100403,R113945,7.518885,26.910444,30.749655,50.141212
Q100403,R125402,39.773705,45.27921,0.0,5.505506
Q100414,R117611,9.883071,31.876432,16.977785,38.971146
Q100415,R130491,14.960127,40.150154,11.777665,36.967693
Q100416,R108986,3.8378546,9.497468,2.6842275,10.944278
Q100417,R108869,3.7179315,16.77601,12.029198,20.408733
Q100417,R110320,20.048906,37.356884,19.318953,30.425705
Q100427,R116516,17.892029,29.250671,0.25966543,11.618307
Q100427,R123688,3.7210755,14.334074,13.167431,23.78043
Q100427,R125182,37.99097,47.704807,11.308031,21.021868
Q100431,R128279,0.6149208,7.485772,0.9988203,7.9916077
Q100431,R132744,28.626469,37.87189,14.681857,24.091356
Q100431,R138302,14.806967,22.686497,2.4862497,10.505616
Q100433,R122640,14.780343,23.885698,26.310585,35.41594
Q100439,R106786,1.3043659,12.640363,38.73991,50.075905
Q100439,R128117,30.014023,37.706444,9.589289,17.28171
Q100440,R104705,4.728702,10.031539,1.0848069,7.848031
Q100446,R103624,27.469791,32.936096,7.2235756,12.689881
Q100446,R111188,3.0080998,17.727758,1.7577641,16.477423
Q100446,R113164,36.20766,42.11447,23.005213,28.91202
Q100449,R122846,29.988146,35.388157,2.1317127,7.5407023
Q100450,R130571,0.40052226,10.139001,1.0139221,7.007508
Q100460,R112331,15.680232,30.458563,4.8198733,23.482826
Q100460,R113470,32.80219,37.525036,2.7843895,8.748681
Q100460,R133400,0.41774306,13.047245,0.0,15.949283
Q100461,R130876,25.05707,35.672634,11.671728,18.051386
Q100466,R124203,39.187485,48.272255,4.729124,14.581748
Q100468,R103840,20.581657,25.685987,3.1925788,8.296908
Q100474,R125391,25.08426,34.154675,5.8940196,19.418953
Q100475,R133883,10.716439,23.044884,18.771873,28.595762
Q100476,R130084,39.248676,47.36341,14.937889,21.589886
Q100476,R130084,29.914045,38.02878,4.1234355,10.775433
Q100478,R101270,15.09747,25.810932,10.484254,23.732567
Q100480,R127114,2.0361505,9.895794,0.5728807,6.668604
Q100481,R106229,47.5117,59.540302,12.204465,24.233067
Q100485,R123934,0.5928073,23.138098,0.72083473,31.891129
Q100486,R108213,14.064727,22.130623,9.132213,17.117117
Q100487,R129524,17.597925,23.480347,1.6255865,7.508008
Q100488,R136691,3.4053688,15.922474,1.554728,14.071834
Q100489,R101202,21.645746,31.280031,8.1528,15.117141
Q100489,R109791,5.5846443,16.24607,50.36752,58.07435
Q100489,R126355,40.913067,65.53169,5.207035,23.003117
Q100524,R115025,7.407276,15.65065,0.27410656,8.766138
Q100530,R125182,23.623846,36.420696,37.954403,50.75125
Q100533,R113812,10.296904,38.938004,17.777103,35.82717
Q100534,R123937,38.56855,46.62835,0.6206753,5.5527205
Q100535,R108633,5.2753363,10.1133995,5.3040857,11.678345
Q100537,R114781,22.420296,46.597496,14.891479,34.7686
Q100541,R110959,2.3474243,22.334957,17.089775,37.07731
Q100545,R111859,-0.30842745,18.77054,5.913192,24.992159
Q100549,R108703,7.734502,15.531647,11.047162,21.778542
Q100551,R125482,0.5046281,38.02589,16.415026,51.818485
Q100554,R132031,26.086851,43.318787,6.9972024,19.51952
Q100558,R106286,8.3219595,19.35215,6.754597,15.015015
Q100559,R100117,29.842848,53.661697,36.207844,60.02669
Q100568,R106848,14.756297,21.097195,0.3802598,7.301804
Q100574,R135527,12.193667,24.293375,25.03743,37.13714
Q100577,R125473,5.697499,21.744951,14.568938,30.679474
Q100577,R132762,27.919895,43.807125,5.9028645,21.852547
Q100580,R114370,76.34744,87.091805,1.7677672,9.013114
Q100583,R115148,22.6379,32.90558,8.971219,19.238897
Q100583,R115148,52.440933,62.70861,43.297184,53.56486
Q100583,R115148,42.673256,52.440933,32.021862,41.78954
Q100583,R115148,32.90558,42.673256,20.74654,30.51422
Q100584,R124275,21.891306,36.113903,0.025783127,14.24838
Q100584,R124996,10.420629,15.968627,13.986735,19.534733
Q100596,R113364,29.653008,40.659477,0.12561029,15.285704
Q100602,R118907,1.0072806,31.465845,23.112024,60.02669
Q100603,R113283,-0.298674,7.7368326,4.0704527,12.514594
Q100622,R137925,6.025802,9.865249,1.8038944,7.2542467
Q100631,R104587,46.552845,54.42064,0.3653174,8.233112
Q100633,R137839,23.188745,43.251263,30.529856,50.592373
Q100637,R105076,41.32795,45.967014,2.78031,8.21705
Q100652,R100984,0.8270029,5.4158206,1.0025018,6.17334
Q100659,R130224,12.856995,18.995882,0.30111146,6.44
Q100680,R135419,5.4374013,13.106344,23.92313,31.196123
Q100681,R114152,57.563347,63.741,5.3146315,11.492287
Q100695,R126748,56.288116,64.52772,3.6902878,11.929887
Q100700,R139926,0.92927027,38.893166,17.02493,54.988823
Q100701,R113135,34.352192,43.106647,17.57579,26.526527
Q100704,R103756,54.011253,70.13885,45.507465,60.018353
Q100715,R127358,6.635827,12.892726,0.6739345,6.777211
Q100717,R111606,12.77368,24.97314,41.78451,51.869328
Q100717,R120730,28.607286,40.554802,0.0,9.876543
Q100717,R121931,44.233456,66.37726,26.37027,44.675686
Q100719,R101273,15.067364,22.299496,17.130444,24.362576
Q100720,R136216,13.399258,24.74342,1.854649,18.018019
Q100721,R104285,15.857132,23.975004,20.041101,32.023834
Q100721,R127342,4.1104627,9.741374,41.768055,50.079803
Q100732,R110127,36.890293,45.3727,3.2153425,9.760342
Q100733,R112293,52.361378,65.72929,0.0,9.242576
Q100733,R124830,32.39197,42.729645,6.011788,13.159255
Q100739,R113560,6.80564,15.957117,4.900526,10.978175
Q100741,R132661,3.6542401,16.822815,1.8552793,13.499445
Q100742,R104137,25.028238,30.467762,20.655212,26.388302
Q100742,R104137,18.165522,24.079443,11.288569,17.521658
Q100742,R104137,31.416555,37.33048,29.521856,35.754944
Q100744,R110419,19.491337,35.30305,5.431032,15.098432
Q100745,R114965,11.7868185,41.77301,37.06925,59.52669
Q100754,R111290,19.873844,26.702427,1.0221462,9.432715
Q100754,R114984,2.7644916,12.012827,9.573009,20.963917
Q100754,R118262,32.911236,37.59289,0.30939206,6.075651
Q100758,R105383,10.756305,22.264761,1.0328095,12.541266
Q100769,R115317,23.244051,33.059357,6.138553,20.036213
Q100769,R116751,5.96987,14.11184,6.583241,18.111595
Q100771,R111191,14.53191,32.422897,36.2273,59.25926
Q100776,R107141,22.00061,32.377262,1.4786847,11.855337
Q100776,R120159,4.5241127,17.837425,0.0,13.313313
Q100777,R104326,7.5633087,21.956062,0.5637032,14.956457
Q100780,R104127,19.737625,47.9759,5.2957582,33.534035
Q100782,R120534,3.0395525,9.31557,1.2141635,7.4901805
Q100791,R124363,14.849786,20.012226,20.534212,26.72421
Q100791,R130157,3.5039368,10.462758,5.943039,14.286979
Q100791,R135797,21.85038,35.84824,2.6944733,19.47854
Q100794,R101881,1.1657552,8.481695,10.099744,21.02102
Q100796,R119584,11.7868185,41.805004,37.036945,59.518353
Q100797,R129456,10.777687,17.064943,22.171076,28.458332
Q100803,R120468,14.183638,21.448847,3.3327942,13.971138
Q100804,R116836,17.963278,27.851925,2.2135324,14.5625305
Q100804,R118918,0.034705997,6.825566,10.86904,19.349504
Q100804,R129449,8.442963,16.35591,34.133553,44.015285
Q100814,R123307,2.5280068,12.211483,4.4159317,11.691833
Q100815,R125453,0.09956524,9.234285,10.371325,19.387539
Q100818,R102016,24.87841,63.665546,14.865788,53.652927
Q100829,R112605,48.810318,54.756374,0.93314594,7.5
Q100832,R130236,-0.4905101,8.242805,22.621307,31.354622
Q100834,R114338,6.390933,25.891302,15.349562,33.0664
Q100850,R130613,12.413277,29.049793,8.358455,31.54513
Q100851,R104491,2.3474243,22.789122,16.707502,37.1492
Q100852,R133144,15.679437,38.95875,20.287966,43.56728
Q100853,R110487,22.324125,46.507122,31.404444,47.394646
Q100872,R114486,9.157036,83.28568,13.623822,60.02669
Q100873,R118876,19.552979,44.45769,24.32968,58.1
Q100879,R136967,5.5175734,17.345592,4.565436,12.713213
Q100883,R107568,0.715904,6.523542,2.5660048,9.968802
Q100884,R117115,10.668963,41.296,37.692413,60.02669
Q100885,R114922,1.7150984,6.2809186,0.8599657,6.105946
Q100886,R137175,9.552176,16.728872,1.2764934,8.45319
Q100895,R124092,50.32372,61.299488,11.981023,22.95679
Q100900,R117697,24.65047,40.471367,30.683943,46.504837
Q100901,R114780,6.3176475,11.98475,39.840378,47.74
Q100902,R136141,8.996767,16.963102,49.409294,55.72239
Q100909,R128476,18.955908,26.145275,1.1528101,8.342176
Q100910,R115025,28.249172,38.781143,0.0,8.808809
Q100910,R118877,5.5855618,25.303545,2.3952677,18.887144
Q100910,R121711,54.76438,60.79832,0.0,5.046713
Q100911,R107501,29.352411,35.22596,7.2514515,13.125
Q100912,R100140,11.941973,31.051165,18.417135,42.37621
Q100913,R128551,9.291088,33.172913,3.1533253,27.03515
Q100928,R134302,1.7438545,11.248474,4.2521772,17.620985
Q100935,R105271,18.34874,23.94813,3.6770542,9.276443
Q100936,R105595,14.7624,22.668863,5.6075506,13.514014
Q100937,R110412,13.604172,47.336506,14.166051,50.822
Q100938,R113524,56.05922,65.195244,1.5285121,7.670317
Q100938,R115103,0.22666089,21.849192,12.15468,26.69069
Q100938,R139240,25.04729,53.063988,0.7581472,19.59271
Q100949,R135096,5.8276834,11.779947,0.9400371,6.8923016
Q100952,R102787,21.244293,30.153202,0.0,8.908909
Q100952,R127018,3.6480987,12.719739,3.391863,12.463503
Q100958,R126706,4.930629,20.975279,28.712866,43.07128
Q100963,R115803,1.778488,27.173018,6.3575206,31.75205
Q100965,R107141,6.703518,12.96445,0.57956,6.8404922
Q100969,R112612,0.092695385,18.12059,2.884408,20.912304
Q100969,R119017,32.790005,43.382603,6.2797403,16.87234
Q100969,R131746,21.170567,28.739956,1.8318026,9.401191
Q100970,R133986,24.8762,33.003654,23.922031,31.333332
Q100971,R101308,3.977816,26.34911,8.353491,29.805222
Q100978,R119107,4.4626803,10.777942,26.130999,32.44626
Q100979,R126917,-0.32472995,18.15141,8.584083,23.732567
Q100980,R117363,10.433013,15.985504,10.923466,16.767267
Q100988,R100766,21.806578,28.452333,0.3578029,7.0035586
Q100988,R136854,5.3136277,18.713959,0.64007014,14.040401
Q100989,R129043,10.400333,20.401361,4.4140353,10.810811
Q100990,R104459,14.470945,25.245274,1.935875,9.709581
Q100991,R134304,3.5062861,46.738598,11.514519,50.517185
Q101002,R120846,10.168943,26.19839,4.748788,23.895504
Q101004,R105167,4.9865513,15.09651,0.0,14.180848
Q101004,R125960,19.55448,25.141283,5.7487965,13.58519
Q101013,R128188,13.779499,19.808783,2.4836473,8.512932
Q101022,R122171,-0.47958988,7.723716,1.9261764,10.129482
Q101025,R111925,4.339085,10.435776,2.193453,10.0
Q101033,R132901,1.0809792,15.694813,12.901181,33.79556
Q101037,R116108,1.7777314,9.428924,14.064553,22.823322
Q101053,R104089,19.05363,32.01317,8.312233,21.271772
Q101060,R136971,28.038033,39.57186,9.688756,21.222586
Q101063,R101833,47.6153,56.081783,16.44719,21.921143
Q101063,R101833,56.081783,64.54827,26.650389,32.12434
Q101063,R101833,64.54827,73.014755,36.85359,42.32754
Q101063,R101833,38.37547,47.6153,5.74399,11.717943
Q101063,R101833,73.014755,82.254585,47.056786,53.03074
Q101074,R132299,33.965736,40.32816,1.2290922,7.89358
Q101078,R133353,30.42388,41.550327,10.362206,21.488655
Q101079,R123273,28.114388,34.64661,45.411777,51.944
Q101079,R123273,3.4854944,10.017717,11.524045,18.056269
Q101079,R123273,22.082165,28.114388,37.064842,43.09707
Q101079,R123273,10.017717,16.04994,20.370977,26.403202
Q101079,R123273,16.04994,22.082165,28.71791,34.750134
Q101086,R114846,9.079995,25.46905,44.98678,60.0
Q101087,R102042,7.096879,17.697271,3.055159,17.347702
Q101088,R132591,1.5218577,7.0020494,2.044755,10.176063
Q101089,R106186,12.347885,29.322416,11.469952,21.79264
Q101103,R114794,28.6291,43.11025,0.0,14.481148
Q101103,R121226,8.266635,22.26939,0.06530862,14.068064
Q101103,R127186,47.279446,52.57018,15.403077,20.69381
Q101104,R112331,26.774632,37.54125,9.919329,21.51944
Q101105,R119406,0.67502236,48.257526,11.936304,59.52669
Q101106,R122043,9.598069,17.509209,48.963768,60.0
Q101110,R135267,13.761233,25.46716,5.6786256,17.38455
Q101115,R107413,4.81034,36.331387,4.514988,36.036037
Q101123,R119030,33.916836,47.930847,0.0,14.014014
Q101123,R128175,0.3298269,12.985451,16.463411,29.119036
Q101123,R132090,15.93114,31.577553,1.5966449,17.243057
Q101126,R118294,2.0445085,7.779228,4.17569,9.91041
Q101128,R106613,19.356653,32.712524,46.670822,60.02669
Q101129,R109467,53.185467,66.96566,47.486553,60.02669
Q101131,R126518,21.842524,31.14847,4.9154744,13.881048
Q101133,R120410,3.199408,31.616793,3.4675934,31.884977
Q101135,R104285,4.4974604,22.294926,17.310736,35.1082
Q101135,R115359,30.168535,37.671196,4.3207545,11.823415
Q101146,R106353,4.4133935,11.516872,0.5120834,7.615563
Q101147,R108011,2.4629805,29.082006,1.6296781,28.144714
Q101149,R109569,35.384403,51.87342,2.4238183,17.01549
Q101149,R116338,3.3728092,19.22063,9.080307,23.104565
Q101152,R134054,3.5099688,15.5673895,1.9896971,15.886262
Q101159,R126377,4.657533,11.394406,6.4631267,13.2
Q101160,R108566,1.3244336,8.077604,33.405148,42.835278
Q101170,R109129,24.401497,28.165829,3.2284257,8.693968
Q101170,R112096,4.2094193,9.706157,6.2057877,14.18666
Q101170,R114781,15.900385,22.737831,0.86738145,10.7948675
Q101178,R127912,19.270254,77.79318,4.1705585,52.31416
Q101180,R107763,1.0505621,10.649394,3.6000507,13.198882
Q101180,R107763,22.248226,31.847057,33.48187,43.0807
Q101180,R107763,11.649394,21.248226,18.540958,28.139791
Q101181,R137071,9.11184,28.63358,22.801449,50.876335
Q101193,R133133,3.864543,16.447197,4.6846128,17.267267
Q101194,R113651,5.7404475,12.266064,15.383879,21.5
Q101205,R109797,8.059108,31.051283,7.753463,34.834366
Q101206,R117365,7.2258496,13.524964,10.402654,17.684853
Q101207,R113373,21.589567,31.89706,16.905106,30.29213
Q101207,R113373,11.282074,21.589567,1.8680563,15.25508
Q101208,R109213,23.412302,35.3815,11.320401,23.289598
Q101217,R102573,21.695175,26.534458,3.5298276,9.129162
Q101218,R124159,0.54836226,19.343931,9.677143,35.38
Q101221,R129161,35.306164,43.01982,3.2999113,11.011011
Q101227,R118973,31.077087,55.686516,30.945345,59.52669
Q101228,R111813,0.70963675,10.535881,3.754503,13.580747
Q101229,R129900,10.8811865,18.601862,0.9212995,8.641975
Q101230,R112281,10.086004,32.71221,5.444259,20.992561
Q101230,R139651,41.832703,50.572765,0.0,6.006006
Q101232,R106119,2.4410157,14.746373,0.7155758,10.574448
Q101232,R119406,19.485075,27.892805,12.823644,19.559792
Q101250,R101690,2.9942179,12.387868,4.646597,15.911914
Q101277,R121781,14.011242,21.696568,20.643003,28.328327
Q101281,R127534,12.070434,30.60477,18.305132,36.83947
Q101283,R114597,21.599012,30.50834,2.3246908,9.202033
Q101286,R110835,5.0177336,10.949015,21.337885,29.569176
Q101289,R108588,45.678223,62.151802,0.01380014,10.8730955
Q101289,R117573,5.328961,20.05514,14.268294,23.975712
Q101292,R107592,5.4795995,10.584876,2.0471191,7.1523952
Q101292,R136153,24.767506,31.983055,0.0,7.215549
Q101293,R138764,36.29126,52.384315,5.0758114,16.601177
Q101294,R103929,10.684795,35.188007,22.641043,48.846035
Q101303,R122908,13.405807,26.976364,11.222973,22.034119
Q101308,R103727,15.440851,30.082579,1.8325771,16.474304
Q101308,R108285,0.7244436,12.656367,2.946607,14.878531
Q101309,R114311,12.201869,19.29951,1.6133474,7.941775
Q101313,R100351,4.6436787,20.585217,1.0951482,17.036688
Q101327,R114311,39.679848,48.57594,0.0,8.441775
Q101327,R134639,15.803226,32.674576,13.019633,29.029373
Q101329,R134773,13.148527,20.147669,0.13297218,7.132113
Q101330,R125215,10.749329,17.545818,6.138382,13.273332
Q101331,R131797,21.591263,37.43024,38.724537,55.209488
Q101335,R126749,7.6363235,26.713877,10.509058,29.58661
Q101341,R124047,18.6451,31.896332,5.100452,18.351685
Q101342,R132377,1.2438196,7.916872,12.583241,22.489656
Q101346,R113107,5.8690324,12.106969,29.54785,35.785786
Q101348,R101745,2.1030812,14.143573,1.460563,13.501054
Q101348,R101745,14.143573,26.184063,19.820848,31.86134
Q101351,R131290,6.839197,18.04205,7.4342227,15.241163
Q101357,R116523,7.7612047,19.519358,43.54998,59.5
Q101358,R122663,0.14055552,4.5111666,5.3704953,11.031895
Q101358,R130447,10.96031,16.91314,8.0961075,15.807009
Q101367,R116622,2.3449585,13.489414,40.38077,55.36505
Q101374,R107760,17.919716,27.436356,2.059781,11.576421
Q101374,R112548,30.68271,35.784447,19.823542,24.925278
Q101374,R113082,0.5604786,15.211597,14.009714,28.660833
Q101376,R135295,16.061243,43.23819,2.6464357,29.823383
Q101382,R128987,9.281804,17.943523,6.4058995,13.159014
Q101382,R128987,25.96393,33.984337,22.046087,28.299202
Q101382,R128987,42.004745,50.02515,37.186275,43.43939
Q101382,R128987,17.943523,25.96393,14.475993,20.729107
Q101382,R128987,33.984337,42.004745,29.61618,35.869293
Q101382,R128987,58.04556,66.707275,52.32646,59.079575
Q101382,R128987,50.02515,58.04556,44.756367,51.009483
Q101383,R115391,7.966197,69.1536,1.5277461,41.253277
Q101385,R135450,4.006424,11.183816,10.071902,19.52002
Q101397,R135767,9.306217,16.817415,20.74045,27.561396
Q101406,R125794,0.569794,8.730506,32.225372,44.41158
Q101408,R101131,5.46819,12.432987,6.087615,15.482649
Q101412,R108505,7.1894455,15.27657,1.1104417,11.504017
Q101415,R126810,1.1184992,8.674988,4.1220694,11.678557
Q101415,R126810,9.674988,17.231476,13.816888,21.373377
Q101416,R114560,36.432926,41.784527,10.218799,16.305395
Q101416,R119443,22.782742,32.106163,3.415341,14.019252
Q101416,R138785,2.5030274,19.895329,8.815479,28.596458
Q101417,R104142,8.556621,19.446661,4.559244,15.449283
Q101421,R121185,0.31595176,8.360037,20.512192,31.048908
Q101421,R128279,15.75266,22.925154,5.897552,15.292597
Q101426,R116836,30.32974,36.817875,0.27253842,6.760673
Q101426,R134538,3.5284812,8.886986,2.1857443,7.5442486
Q101426,R136967,13.888745,20.47361,6.558511,13.143375
Q101432,R103475,32.836296,58.05695,37.828285,60.02669
Q101433,R107501,12.684967,22.80914,3.100535,13.224707
Q101433,R129449,1.3210708,10.48112,24.036411,33.19646
Q101435,R130283,31.534512,38.14808,10.68689,16.135416
Q101437,R118316,15.40413,24.271643,13.805264,22.672777
Q101437,R118316,6.5366173,15.40413,3.2361977,12.10371
Q101449,R107395,5.517596,11.925762,3.7143466,13.013013
Q101454,R130781,6.389949,16.714548,0.86890507,11.193504
Q101457,R112168,3.2212052,8.814117,1.4446902,8.008008
Q101462,R106044,18.08202,28.035486,4.198252,14.151719
Q101466,R108148,30.611834,39.56401,24.932577,33.884754
Q101466,R116589,0.2433623,15.7511635,1.281395,16.789196
Q101466,R133825,18.293108,27.209774,0.0,8.916667
Q101476,R114163,17.053612,35.92304,4.502144,16.016016
Q101480,R134036,4.6530395,19.918306,5.1147547,24.524525
Q101496,R109818,5.5834146,11.844008,3.2494159,9.51001
Q101497,R100946,10.650679,19.561007,12.184687,25.362255
Q101497,R117043,29.522116,34.33214,50.974068,58.08766
Q101497,R139602,3.1076734,7.664085,25.525608,32.26413
Q101498,R126889,5.337346,25.624231,34.358177,51.777287
Q101498,R140207,30.08998,50.837517,13.02318,30.837824
Q101499,R118881,-0.45421228,6.339461,2.8690674,10.340755
Q101503,R135256,30.103493,35.002377,18.970966,24.395601
Q101503,R135256,24.30153,29.200413,10.97078,16.395414
Q101503,R135256,35.905457,40.804337,26.971153,32.395786
