query_id,ref_id,score
Q200049,R207211,-0.052947134
Q200033,R236425,-0.05297631
Q200068,R201609,-0.053233504
Q200088,R223015,-0.053250894
Q200095,R208302,-0.053580314
Q200093,R220947,-0.05378762
Q200092,R201663,-0.053886384
Q200056,R228851,-0.053999424
Q200030,R224830,-0.05410999
Q200014,R202184,-0.05412683
Q200035,R209032,-0.05414927
Q200083,R219455,-0.054204166
Q200063,R218463,-0.054228216
Q200030,R219736,-0.054253757
Q200056,R222451,-0.054283142
Q200062,R201043,-0.05444941
Q200040,R205532,-0.054507554
Q200009,R216405,-0.05451128
Q200008,R219649,-0.054513425
Q200072,R216985,-0.054535925
Q200086,R201047,-0.054573745
Q200045,R204990,-0.05457902
Q200092,R214363,-0.054650366
Q200024,R237896,-0.054681793
Q200031,R219879,-0.054775953
Q200006,R208928,-0.054806054
Q200068,R215836,-0.054814577
Q200056,R223662,-0.054819524
Q200071,R210648,-0.05489534
Q200059,R221732,-0.054944426
Q200014,R203910,-0.05502817
Q200069,R228553,-0.055104822
Q200062,R216284,-0.055166036
Q200031,R231974,-0.055193454
Q200004,R217296,-0.05521345
Q200011,R212407,-0.055291742
Q200021,R229353,-0.055349648
Q200039,R234030,-0.055374354
Q200031,R213471,-0.05551949
Q200012,R222786,-0.055645496
Q200012,R239930,-0.055692524
Q200040,R235465,-0.05588004
Q200075,R230263,-0.055886388
Q200088,R200760,-0.055913
Q200035,R217585,-0.055971116
Q200092,R203938,-0.056199074
Q200013,R238445,-0.056292772
Q200031,R231035,-0.05640331
Q200009,R219404,-0.056742817
Q200038,R239574,-0.056941748
Q200095,R236183,-0.05694741
Q200059,R203950,-0.057011306
Q200014,R214018,-0.057098597
Q200035,R205777,-0.057101488
Q200009,R237445,-0.057130396
Q200021,R215599,-0.0571329
Q200078,R200686,-0.057265103
Q200035,R209575,-0.057295054
Q200066,R225157,-0.05736284
Q200088,R219544,-0.057378948
Q200011,R208803,-0.05740139
Q200012,R215812,-0.057433397
Q200031,R227204,-0.05745183
Q200073,R204342,-0.057459593
Q200095,R201476,-0.057533145
Q200018,R210270,-0.057569355
Q200073,R237321,-0.057570666
Q200092,R217575,-0.057581037
Q200067,R218993,-0.057591975
Q200067,R228811,-0.05760622
Q200056,R217794,-0.057621926
Q200039,R238773,-0.05768293
Q200059,R227251,-0.05774319
Q200097,R228001,-0.05775556
Q200012,R226468,-0.057779253
Q200093,R240045,-0.057788312
Q200006,R237959,-0.05782166
Q200092,R219332,-0.05784008
Q200013,R237735,-0.05784306
Q200095,R219729,-0.057869673
Q200069,R234075,-0.057896912
Q200100,R211804,-0.0579167
Q200061,R213037,-0.058026195
Q200093,R205777,-0.058095723
Q200035,R239376,-0.058144033
Q200024,R226341,-0.058163792
Q200063,R207572,-0.05817604
Q200093,R224730,-0.058188915
Q200093,R202768,-0.05823183
Q200014,R237206,-0.058252037
Q200002,R232252,-0.05844447
Q200021,R218077,-0.05848691
Q200050,R236915,-0.05849445
Q200047,R229089,-0.058588862
Q200009,R223798,-0.058613807
Q200022,R213283,-0.058633894
Q200098,R228481,-0.05866626
Q200041,R212798,-0.058685005
Q200070,R203852,-0.058697075
Q200088,R231788,-0.05870989
Q200006,R228596,-0.058837682
Q200095,R216039,-0.058858752
Q200046,R232504,-0.058888376
Q200023,R203469,-0.05893174
Q200100,R240046,-0.058964193
Q200011,R219261,-0.05902134
Q200012,R206421,-0.059028894
Q200042,R234991,-0.05903527
Q200067,R240086,-0.059075624
Q200095,R204483,-0.05908361
Q200085,R214531,-0.059123814
Q200012,R204016,-0.05912575
Q200011,R222403,-0.059143454
Q200029,R235251,-0.059165284
Q200011,R219183,-0.0591743
Q200039,R226898,-0.059197962
Q200055,R222074,-0.05926594
Q200003,R236537,-0.05941707
Q200012,R232958,-0.05941826
Q200037,R203387,-0.05952984
Q200039,R217257,-0.059594065
Q200093,R206217,-0.059651583
Q200063,R232939,-0.059738874
Q200075,R204350,-0.059835017
Q200014,R202039,-0.05986291
Q200095,R210979,-0.059882194
Q200039,R204257,-0.05988717
Q200030,R200104,-0.05989036
Q200086,R222837,-0.05992675
Q200036,R233475,-0.059972435
Q200040,R218910,-0.0599899
Q200086,R219091,-0.060064316
Q200024,R215681,-0.06006995
Q200003,R219231,-0.060094208
Q200010,R228956,-0.060114026
Q200062,R232612,-0.060131013
Q200063,R203578,-0.06020227
Q200073,R221998,-0.060263306
Q200042,R204130,-0.060325503
Q200070,R228323,-0.06032616
Q200024,R220961,-0.060340583
Q200088,R240144,-0.06034778
Q200049,R210733,-0.060373038
Q200086,R218974,-0.06044832
Q200012,R225871,-0.060458064
Q200088,R235641,-0.06046015
Q200011,R201810,-0.060503274
Q200024,R237486,-0.060518175
Q200030,R225963,-0.060666263
Q200088,R230473,-0.060719848
Q200009,R221105,-0.060738027
Q200001,R225434,-0.060753584
Q200099,R227999,-0.06080073
Q200007,R233180,-0.060813874
Q200091,R224038,-0.060841233
Q200048,R237622,-0.06090316
Q200047,R220043,-0.06090331
Q200059,R236324,-0.060928136
Q200011,R233460,-0.06116435
Q200015,R204362,-0.06119746
Q200070,R234730,-0.06120655
Q200082,R205690,-0.061211914
Q200037,R230402,-0.06121528
Q200095,R206492,-0.06122434
Q200028,R206558,-0.061226666
Q200070,R222924,-0.0612607
Q200062,R200081,-0.06129253
Q200020,R231413,-0.06132996
Q200061,R238429,-0.061330527
Q200071,R218704,-0.061571658
Q200011,R231067,-0.06157738
Q200058,R219679,-0.061676443
Q200083,R202193,-0.061700523
Q200028,R237039,-0.06189224
Q200095,R210445,-0.06190616
Q200007,R230111,-0.062003344
Q200088,R204801,-0.062024444
Q200076,R204791,-0.06204343
Q200086,R232527,-0.06208107
Q200062,R220468,-0.062086165
Q200045,R226982,-0.062108845
Q200086,R206460,-0.062192544
Q200036,R238832,-0.062212616
Q200086,R202378,-0.06221278
Q200089,R223903,-0.062232405
Q200066,R215711,-0.062271386
Q200045,R206341,-0.062309712
Q200012,R203851,-0.062374145
Q200007,R211744,-0.062413067
Q200095,R234453,-0.062417388
Q200015,R216004,-0.0624367
Q200035,R234221,-0.062478304
Q200071,R223798,-0.06256375
Q200035,R218050,-0.062606245
Q200009,R218778,-0.062626004
Q200090,R206617,-0.06264585
Q200098,R226977,-0.06266132
Q200098,R234808,-0.06269726
Q200084,R209066,-0.06270078
Q200035,R235372,-0.062771946
Q200004,R204092,-0.06277409
Q200086,R225069,-0.0627757
Q200073,R237884,-0.0627816
Q200049,R226917,-0.06278801
Q200086,R218971,-0.062793255
Q200035,R209426,-0.06282073
Q200020,R203019,-0.06282389
Q200035,R210772,-0.06282461
Q200011,R218707,-0.06285992
Q200072,R222942,-0.062995195
Q200063,R224514,-0.0630185
Q200004,R234852,-0.06304425
Q200038,R240164,-0.06305927
Q200027,R208712,-0.063089654
Q200020,R216885,-0.06310952
Q200020,R233939,-0.063149095
Q200086,R206996,-0.063153416
Q200053,R222272,-0.06316152
Q200029,R214960,-0.06320396
Q200064,R231889,-0.06321925
Q200066,R202123,-0.06322214
Q200040,R236526,-0.06326443
Q200007,R214696,-0.063297376
Q200048,R232478,-0.063378856
Q200067,R229903,-0.063382745
Q200070,R203064,-0.063409045
Q200063,R218984,-0.063424826
Q200003,R207186,-0.06345007
Q200027,R216609,-0.06346488
Q200088,R225618,-0.063482076
Q200045,R237852,-0.06353393
Q200098,R214034,-0.06358534
Q200078,R214536,-0.063593686
Q200017,R209305,-0.063613445
Q200031,R226653,-0.06361738
Q200031,R237173,-0.063641995
Q200044,R233374,-0.06364703
Q200055,R209864,-0.0636906
Q200093,R215511,-0.063702404
Q200066,R206333,-0.06370324
Q200086,R210954,-0.06371158
Q200093,R204583,-0.06379491
Q200085,R231378,-0.06380367
Q200064,R211943,-0.06381105
Q200096,R211291,-0.06382555
Q200095,R206996,-0.06385809
Q200059,R220714,-0.06387657
Q200037,R212531,-0.063886106
Q200088,R213959,-0.06388843
Q200048,R239075,-0.06389266
Q200065,R237636,-0.063962996
Q200014,R214386,-0.06400025
Q200014,R205267,-0.06400214
Q200070,R216094,-0.064009964
Q200059,R205256,-0.06407276
Q200014,R200479,-0.06408435
Q200031,R237330,-0.06408656
Q200088,R206241,-0.06409067
Q200009,R214873,-0.06415516
Q200064,R210913,-0.0642187
Q200095,R202709,-0.06430316
Q200073,R220825,-0.06431818
Q200098,R230051,-0.06435703
Q200052,R219135,-0.064402625
Q200068,R207941,-0.0644269
Q200035,R234757,-0.064433455
Q200040,R216269,-0.06447473
Q200011,R206682,-0.0644826
Q200011,R222254,-0.0644944
Q200056,R230611,-0.064530104
Q200033,R223508,-0.06456211
Q200095,R219747,-0.06456977
Q200038,R237348,-0.06463811
Q200072,R232542,-0.064639434
Q200059,R204847,-0.06469157
Q200038,R219214,-0.064697
Q200073,R224095,-0.06472403
Q200011,R225662,-0.06476846
Q200045,R229680,-0.06479412
Q200047,R201287,-0.06487271
Q200089,R238393,-0.06489986
Q200041,R221655,-0.064931035
Q200090,R230790,-0.06494075
Q200027,R216124,-0.06503357
Q200086,R211147,-0.06505594
Q200053,R203479,-0.06506908
Q200063,R232159,-0.06510827
Q200040,R231180,-0.06511229
Q200012,R234957,-0.06512727
Q200037,R219631,-0.06517744
Q200093,R213124,-0.065194905
Q200086,R204752,-0.06528202
Q200046,R234971,-0.06529519
Q200070,R237085,-0.065322876
Q200044,R211569,-0.06535384
Q200056,R234819,-0.06539568
Q200097,R213284,-0.065421134
Q200063,R209354,-0.06544182
Q200064,R232915,-0.065449804
Q200063,R218005,-0.06548661
Q200072,R230302,-0.0654951
Q200081,R221940,-0.06552383
Q200011,R212322,-0.06552565
Q200093,R238736,-0.06552675
Q200059,R220408,-0.06554046
Q200031,R224095,-0.06556523
Q200059,R219310,-0.065571636
Q200031,R211266,-0.06560922
Q200063,R228289,-0.065621704
Q200006,R221698,-0.065687984
Q200063,R202471,-0.065701574
Q200095,R224801,-0.065711826
Q200041,R223526,-0.065816045
Q200036,R204585,-0.06583564
Q200058,R212282,-0.06591767
Q200003,R210820,-0.065969974
Q200042,R216875,-0.06600851
Q200067,R235017,-0.06605479
Q200035,R217653,-0.06605998
Q200086,R215274,-0.06607345
Q200031,R229139,-0.06607422
Q200023,R235838,-0.066131264
Q200012,R212717,-0.066155344
Q200033,R206300,-0.06615862
Q200086,R230525,-0.06617394
Q200047,R231353,-0.06618208
Q200020,R203982,-0.06618738
Q200039,R215572,-0.06619714
Q200003,R215060,-0.066197425
Q200040,R232000,-0.06623247
Q200031,R224987,-0.06623545
Q200011,R207628,-0.06627706
Q200030,R220334,-0.06628361
Q200042,R201143,-0.06628713
Q200070,R213051,-0.06630674
Q200014,R237796,-0.06632173
Q200056,R201515,-0.06636378
Q200039,R203727,-0.06636402
Q200012,R235519,-0.066371426
Q200088,R202180,-0.066375405
Q200028,R226544,-0.066379935
Q200085,R217102,-0.06640476
Q200072,R239077,-0.06641513
Q200012,R223317,-0.06642091
Q200021,R235804,-0.06643218
Q200011,R217007,-0.06646311
Q200011,R226845,-0.06646782
Q200059,R211461,-0.06648603
Q200049,R206042,-0.06648877
Q200090,R228506,-0.0665413
Q200095,R200823,-0.06655082
Q200054,R201708,-0.06657851
Q200012,R230185,-0.066618174
Q200041,R208235,-0.06664869
Q200092,R217894,-0.06668469
Q200042,R223484,-0.066725045
Q200062,R212395,-0.066765815
Q200036,R233137,-0.066776484
Q200018,R218727,-0.06678459
Q200056,R216575,-0.066830635
Q200030,R223103,-0.06687039
Q200093,R238813,-0.06687155
Q200011,R214505,-0.06687969
Q200073,R219629,-0.06692767
Q200036,R231133,-0.06695965
Q200092,R205212,-0.06695971
Q200063,R215686,-0.066993654
Q200011,R213227,-0.06700954
Q200036,R238308,-0.06703052
Q200071,R223109,-0.06704262
Q200083,R233881,-0.067086995
Q200092,R219458,-0.06712815
Q200035,R211302,-0.067135215
Q200063,R215858,-0.06713556
Q200049,R225716,-0.06719142
Q200038,R221854,-0.06724934
Q200084,R237914,-0.06729755
Q200068,R232637,-0.06731799
Q200035,R221850,-0.0673459
Q200014,R218913,-0.06742193
Q200051,R238711,-0.06749758
Q200007,R231642,-0.06751643
Q200063,R226660,-0.06754884
Q200100,R201798,-0.06763792
Q200010,R206011,-0.06772947
Q200011,R209288,-0.06777777
Q200014,R239804,-0.06779437
Q200086,R205169,-0.067820996
Q200014,R207522,-0.06784797
Q200009,R229046,-0.06789532
Q200068,R201921,-0.06790823
Q200018,R232616,-0.06791529
Q200043,R203234,-0.06797522
Q200100,R209493,-0.06797755
Q200093,R210856,-0.06800297
Q200086,R227673,-0.06802264
Q200097,R237072,-0.0680318
Q200063,R234603,-0.06803799
Q200059,R216081,-0.068122685
Q200081,R238875,-0.06814177
Q200076,R214584,-0.06817222
Q200052,R208667,-0.06818934
Q200056,R201053,-0.068208545
Q200003,R215715,-0.06825584
Q200020,R222008,-0.06827363
Q200039,R233405,-0.06829643
Q200039,R228967,-0.06830439
Q200098,R214500,-0.068308905
Q200012,R224801,-0.06832683
Q200003,R217024,-0.068350166
Q200083,R237713,-0.068351954
Q200086,R238503,-0.06839132
Q200052,R223136,-0.06839603
Q200014,R231125,-0.06842485
Q200053,R238843,-0.06843957
Q200036,R202838,-0.068457484
Q200075,R237560,-0.06847437
Q200002,R221641,-0.06849894
Q200059,R207161,-0.06853086
Q200035,R217307,-0.06855494
Q200088,R226873,-0.06855929
Q200035,R224894,-0.06857839
Q200048,R207534,-0.06862974
Q200014,R214677,-0.068635136
Q200030,R233242,-0.0686419
Q200063,R236484,-0.0686962
Q200088,R206635,-0.06870149
Q200056,R220902,-0.06871311
Q200014,R220016,-0.068745285
Q200095,R238903,-0.06875701
Q200009,R218704,-0.0687947
Q200038,R211868,-0.0688144
Q200009,R234156,-0.0688183
Q200040,R203872,-0.06886405
Q200062,R226368,-0.068888694
Q200096,R214481,-0.06892872
Q200091,R239873,-0.06895898
Q200010,R219960,-0.0690127
Q200076,R238881,-0.06904629
Q200012,R231486,-0.06906243
Q200056,R213101,-0.0690839
Q200050,R213409,-0.06910536
Q200088,R209914,-0.06913388
Q200007,R209909,-0.069139734
Q200088,R225283,-0.06914964
Q200100,R225880,-0.06916189
Q200038,R223376,-0.06916952
Q200031,R239273,-0.06919998
Q200083,R234796,-0.06921545
Q200095,R231475,-0.069220096
Q200068,R223009,-0.069251865
Q200067,R201544,-0.06928463
Q200041,R209174,-0.06930575
Q200056,R203748,-0.069319606
Q200095,R223524,-0.06934783
Q200040,R223526,-0.069386184
Q200095,R216914,-0.06941472
Q200056,R223351,-0.06945503
Q200031,R232868,-0.06951608
Q200012,R221052,-0.069530815
Q200015,R231788,-0.06958291
Q200070,R211345,-0.069612
Q200011,R226039,-0.06961964
Q200002,R205041,-0.06962535
Q200056,R217364,-0.06964767
Q200035,R200671,-0.06967473
Q200075,R238835,-0.069710284
Q200067,R228353,-0.0697355
Q200092,R217158,-0.069737434
Q200024,R224003,-0.06976178
Q200012,R223405,-0.06978203
Q200083,R207546,-0.06981067
Q200014,R223254,-0.06981328
Q200007,R231074,-0.06981574
Q200029,R227638,-0.06985444
Q200009,R225982,-0.06986976
Q200050,R201935,-0.06987849
Q200011,R220775,-0.06989314
Q200042,R208775,-0.0699653
Q200040,R213179,-0.069976956
Q200062,R200486,-0.06999543
Q200070,R218003,-0.07003677
Q200012,R204832,-0.07009137
Q200059,R240304,-0.070094615
Q200021,R207292,-0.07015321
Q200035,R231040,-0.07016349
Q200013,R227906,-0.07017836
Q200092,R205834,-0.070186615
Q200053,R230926,-0.070195585
Q200038,R200436,-0.070215255
Q200011,R218995,-0.070223495
Q200058,R217063,-0.07031423
Q200083,R228972,-0.07034722
Q200010,R230319,-0.070351124
Q200092,R200848,-0.0703775
Q200012,R205324,-0.07038525
Q200035,R223862,-0.07042064
Q200011,R201254,-0.07049325
Q200073,R226097,-0.07054973
Q200056,R238722,-0.07055253
Q200063,R217845,-0.070557624
Q200018,R232526,-0.070566475
Q200095,R202037,-0.07063933
Q200093,R238833,-0.0706653
Q200011,R203977,-0.07068455
Q200013,R222412,-0.07073499
Q200070,R234680,-0.070741
Q200095,R238264,-0.0707652
Q200021,R211707,-0.070835054
Q200003,R234226,-0.07083711
Q200041,R218023,-0.07090941
Q200002,R216746,-0.07097627
Q200056,R238766,-0.0709995
Q200056,R203673,-0.07100907
Q200085,R211056,-0.07103208
Q200039,R202117,-0.07104996
Q200027,R208588,-0.07108462
Q200053,R220071,-0.071092695
Q200066,R230680,-0.0710966
Q200093,R231209,-0.0711174
Q200011,R207675,-0.071134
Q200098,R213091,-0.071146816
Q200093,R229439,-0.07114816
Q200095,R218507,-0.0711624
Q200009,R207272,-0.07116468
Q200011,R207135,-0.07116634
Q200063,R219087,-0.07119225
Q200071,R204842,-0.07120082
Q200067,R208170,-0.07120453
Q200092,R221462,-0.07120857
Q200035,R226063,-0.07120904
Q200041,R238929,-0.07124685
Q200061,R210000,-0.07125479
Q200031,R200945,-0.07130915
Q200068,R232484,-0.0713096
Q200012,R225700,-0.07131234
Q200059,R204942,-0.071335375
Q200035,R212748,-0.07133636
Q200036,R212735,-0.07134619
Q200024,R223376,-0.071406245
Q200014,R217811,-0.07146658
Q200005,R223003,-0.07147938
Q200053,R222046,-0.071495906
Q200007,R234674,-0.07150073
Q200059,R209651,-0.07150528
Q200092,R240050,-0.07152566
Q200084,R227933,-0.07155642
Q200056,R230235,-0.0715633
Q200011,R231028,-0.07158068
Q200092,R213705,-0.07159525
Q200097,R205009,-0.071629316
Q200035,R231625,-0.07164788
Q200003,R205283,-0.07165745
Q200035,R235446,-0.07165933
Q200011,R224604,-0.07167676
Q200046,R206373,-0.07169053
Q200086,R220192,-0.07169536
Q200065,R216566,-0.07170105
Q200012,R208280,-0.071718216
Q200055,R220232,-0.071726054
Q200053,R215731,-0.07175492
Q200020,R216983,-0.0717617
Q200035,R217679,-0.071765006
Q200039,R207195,-0.071784616
Q200059,R214049,-0.07178554
Q200095,R229872,-0.07180065
Q200093,R238169,-0.07183045
Q200035,R216258,-0.07184121
Q200009,R201902,-0.07184142
Q200007,R236988,-0.07184675
Q200043,R204397,-0.071856245
Q200071,R224658,-0.07186738
Q200096,R227498,-0.07187033
Q200022,R214272,-0.07188454
Q200040,R203603,-0.07194075
Q200085,R227071,-0.0719638
Q200010,R221802,-0.07196659
